標題,推文次數,日期
[討論] 2024.04.23 開獎結果,8,4/23
[報牌] 虎斑法鬥 39 二合,0,4/24
[報牌] 享受輸的感覺539,8,4/24
[討論] 2024.04.24 開獎結果 五三九 9注,3,4/25
[情報] 樂透小常識 (編修:2019/05/01),32,2/13
[公告] 樂透版版規 2016.08.21,4,8/21
Re: [閒聊] 刮刮樂機率分析彙整,1,2/21
[報牌] 享受輸的感覺539,10,4/18
[討論] 2024.04.18 開獎結果,4,4/19
[報牌] 享受輸的感覺539,4,4/19
[報牌] 虎斑法鬥 39 二合,0,4/19
[報牌] 39樂合,0,4/19
[討論] 2024.04.19 開獎結果,3,4/20
[報牌] 高雄539,0,4/20
[報牌] 虎斑法鬥 39 二合,0,4/20
[報牌] 享受輸的感覺539,2,4/20
[真相] 可惜了,11,4/20
[報牌] 虎斑法鬥 39 二合,0,4/22
[討論] 2024.04.20 開獎結果,1,4/22
[問題] 頭獎商店哪邊查？,1,4/22
[報牌] 39樂合及三四星,0,4/22
[報牌] 539,2,4/22
[報牌] 享受地震的快感539,4,4/22
Re: [真相] 可惜了,3,4/22
[報牌] 享受輸的感覺539,10,4/23
[真相] 49 2合,6,4/23
[討論] 2024.04.22 開獎結果,3,4/23
[討論] 2024.04.13 開獎結果,1,4/14
[報牌] 虎斑法鬥 39 二合,0,4/15
[報牌] 享受輸的感覺539,8,4/15
[真相] 3組539,5,4/15
[討論] 2024.04.15 開獎結果 威力彩 2.7億,4,4/15
[報牌] 虎斑法鬥 39 二合,0,4/16
[報牌] 救救我啊我救我539,0,4/16
[真相] 兩組威力彩,3,4/16
[報牌] 享受輸的感覺539,8,4/16
[報牌] 三九二合,0,4/16
[閒聊] 就連神都救不了我,1,4/16
[討論] 2024.04.16 開獎結果 大樂透 1.0億,1,4/16
[報牌] 虎斑法鬥 39 二合,0,4/17
[報牌] 39二合,0,4/17
[報牌] 享受輸的感覺539,17,4/17
[真相] 4星彩,1,4/17
[討論] 2024.04.17 開獎結果,4,4/17
[報牌] 虎斑法鬥 39 二合,0,4/18
[報牌] 39樂合彩,0,4/18
[報牌] 高雄539,0,4/18
